pecha_id,batch,n_raw,n_final,unfixed_rate,shape_rate,verdict
I88DA3111,new,1,1,0.0,1.0,keep
I895C519A,new,1,1,0.0,1.0,keep
I8961718B,new,14,14,0.0,1.0,keep
I8994AAB2,new,3,3,0.0,1.0,keep
I8995895C,new,2,2,0.0,1.0,keep
I8A57AE06,new,1,1,0.0,1.0,keep
I8B49E87B,new,15,15,0.0,1.0,keep
I8CEEFEFC,new,1,1,0.0,1.0,keep
I8D5C7CB4,new,1,1,0.0,1.0,keep
I8D6D2565,new,1,1,0.0,1.0,keep
I8E747E8E,new,1,1,0.0,1.0,keep
I8EC6D8E9,new,1,1,0.0,1.0,keep
I91949F99,new,3,3,0.0,1.0,keep
I920AA7AC,new,4,4,0.0,1.0,keep
I9434034F,new,2,2,0.0,1.0,keep
I9658BC87,new,19,19,0.0,1.0,keep
I968B73EB,new,1,1,0.0,1.0,keep
I9779A606,new,3,3,0.0,1.0,keep
I97B90DC0,new,13,13,0.0,1.0,keep
I9811592F,new,1,1,0.0,1.0,keep
I98D03292,new,5,5,0.0,1.0,keep
I99DF06AA,new,1,1,0.0,1.0,keep
I9AEEF96A,new,1,1,0.0,1.0,keep
I9B6A4525,new,10,10,0.0,1.0,keep
I9CB71958,new,8,8,0.0,1.0,keep
I9D9C7AC9,new,1,1,0.0,1.0,keep
I9DF09DD3,new,1,1,0.0,1.0,keep
I9EE3E92B,new,1,1,0.0,1.0,keep
IA3DD1ADA,new,1,1,0.0,1.0,keep
IA473D353,new,9,9,0.0,0.889,keep
IA5AA757B,new,5,5,0.0,1.0,keep
IA736981A,new,3,3,0.0,1.0,keep
IA83BAC6F,new,1,1,0.0,1.0,keep
IAA85B9B5,new,1,1,0.0,1.0,keep
IAAADCAA0,new,9,9,0.0,1.0,keep
IAB948889,new,1,1,0.0,1.0,keep
IABE7480B,new,2,2,0.0,1.0,keep
IACD4469E,new,1,1,0.0,1.0,keep
IAE1E11E5,new,5,5,0.0,1.0,keep
IAFA8F999,new,1,1,0.0,1.0,keep
IB047F8C7,new,7,7,0.0,1.0,keep
IB2BA1922,new,2,2,0.0,1.0,keep
IB4534838,new,1,1,0.0,1.0,keep
